site_id,family,locale,file_path,en_path,issue_type,detail,priority
reference.aspose.org,cells,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,table_desc_not_translated,13/13 desc cells English,3
reference.aspose.org,cells,zh,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\zh\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,zh,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\zh\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,table_desc_not_translated,13/13 desc cells English,3
reference.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\cells\python\ShapeCollection.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\ShapeCollection.md,table_desc_not_translated,2/4 desc cells English,3
reference.aspose.org,cells,es,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\es\cells\python\sparkline.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\sparkline.md,newline_explosion,EN=58 TR=188,4
reference.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\cells\python\sparkline.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\sparkline.md,newline_explosion,EN=58 TR=188,4
reference.aspose.org,cells,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\cells\python\sparkline.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\sparkline.md,table_desc_not_translated,3/3 desc cells English,3
reference.aspose.org,cells,fi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fi\cells\python\sparkline.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\sparkline.md,newline_explosion,EN=58 TR=187,4
reference.aspose.org,cells,fr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fr\cells\python\sparkline.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\sparkline.md,newline_explosion,EN=58 TR=188,4
reference.aspose.org,cells,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\cells\python\sparkline.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\sparkline.md,newline_explosion,EN=58 TR=188,4
